Type	URI	Status	Elapsed Seconds
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064177/info.json	200	0.110444
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064177/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064177/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064177/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064178/info.json	200	0.119378
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064178/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064178/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064178/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064179/info.json	200	0.112113
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064179/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064179/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064179/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064180/info.json	200	0.100254
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064180/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064180/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064180/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064181/info.json	200	0.117345
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064181/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064181/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064181/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064182/info.json	200	0.11171
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064182/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064182/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064182/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064183/info.json	200	0.111935
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064183/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064183/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064183/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064184/info.json	200	0.119712
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064184/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064184/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064184/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064185/info.json	200	0.1057
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064185/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064185/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064185/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064186/info.json	200	0.103399
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064186/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064186/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064186/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064187/info.json	200	0.112195
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064187/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064187/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064187/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064188/info.json	200	0.114421
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064188/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064188/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064188/100,100,200,200/100,/0/native.jpg	200	
